Book,Author,Status
"Framework Design Guidelines: Conventions, Idioms, and Patterns for Reusable .NET Libraries, 3rd Edition","By Krzysztof Cwalina, Jeremy Barton, Brad Abrams",OK
Mastery,Robert Greene,OK
"Coding Clean, Reliable, and Safe REST APIs with ASP.NET Core 8: Develop Robust Minimal APIs with .NET 8",Anthony Giretti,OK
"The Software Engineer's Guidebook: Navigating senior, tech lead, and staff engineer positions at tech companies and startups (English Edition)",Gergely Orosz,OK
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,OK
Tidy First?: A Personal Exercise in Empirical Software Design,Kent Beck,Ok
Man's Search for Meaning (English Edition) ,"Viktor E. Frankl, Harold S. Kushner , William J. Winslade ",OK
Feynman's Rainbow: A Search for Beauty in Physics and in Life ,Leonard Mlodinow ,OK
The 48 Laws Of Power (The Modern Machiavellian Robert Greene Book 1),Robert Greene ,Ok
Clean Architecture with .NET,Dino Esposito,OK
